InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,Arch
ecs.gn6i-c16g1.4xlarge,T4,1,16,62,T4 16GB,1.82895926,0.57300746,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.gn6i-c24g1.12xlarge,T4,2,48,186,T4 16GB,4.56135954,1.42005146,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.gn6i-c24g1.6xlarge,T4,1,24,93,T4 16GB,2.28435926,0.71418146,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.gn6i-c40g1.10xlarge,T4,1,40,155,T4 16GB,3.15748513,0.98485052,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.gn6i-c4g1.xlarge,T4,1,4,15,T4 16GB,1.16517926,0.36723566,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.gn6i-c8g1.2xlarge,T4,1,8,31,T4 16GB,1.38597926,0.43568366,ap-northeast-1,ap-northeast-1a,ecs.gn6i,X86
ecs.sgn8ga-wy-128g-m24.16xlarge,RTX 5880,1,64,128,RTX 5880 24GB,2.17591886,0.68056494,ap-northeast-1,ap-northeast-1a,ecs.sgn8ga-wy,X86
ecs.sgn8ga-wy-128g-x1.16xlarge,RTX 5880,1,64,128,RTX 5880 48GB,3.47656886,1.08376644,ap-northeast-1,ap-northeast-1a,ecs.sgn8ga-wy,X86
ecs.sgn8ga-wy-12g-m2.3large,RTX 5880,1,6,12,RTX 5880 2GB,0.19474946,0.06640243,ap-northeast-1,ap-northeast-1a,ecs.sgn8ga-wy,X86
ecs.sgn8ga-wy-16g-m2.2xlarge,RTX 5880,1,8,16,RTX 5880 2GB,0.26835866,0.08922128,ap-northeast-1,ap-northeast-1a,ecs.sgn8ga-wy,X86
ecs.sgn8ga-wy-16g-m4.2xlarge,RTX 5880,1,8,16,RTX 5880 4GB,0.35517446,0.11613418,ap-northeast-1,ap-northeast-1a,ecs.sgn8ga-wy,X86
