InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,Arch
GN7.2XLARGE32,T4,1,8,32,"T4 x1, family GN7",1.0833,,ap-bangkok,ap-bangkok-2,GN7,
GN7.5XLARGE80,T4,1,20,80,"T4 x1, family GN7",1.73052,,ap-bangkok,ap-bangkok-2,GN7,
GN7.8XLARGE128,T4,1,32,128,"T4 x1, family GN7",2.37636,,ap-bangkok,ap-bangkok-2,GN7,
GN7.10XLARGE160,T4,2,40,160,"T4 x2, family GN7",3.45414,,ap-bangkok,ap-bangkok-2,GN7,
GN7.20XLARGE320,T4,4,80,320,"T4 x4, family GN7",6.90276,,ap-bangkok,ap-bangkok-2,GN7,
GN10Xp.2XLARGE40,V100,1,10,40,"V100 x1, family GN10Xp",2.898,,ap-bangkok,ap-bangkok-2,GN10Xp,
GN10Xp.5XLARGE80,V100,2,20,80,"V100 x2, family GN10Xp",5.79186,,ap-bangkok,ap-bangkok-2,GN10Xp,
GN10Xp.10XLARGE160,V100,4,40,160,"V100 x4, family GN10Xp",11.57682,,ap-bangkok,ap-bangkok-2,GN10Xp,
GN10Xp.20XLARGE320,V100,8,80,320,"V100 x8, family GN10Xp",23.14812,,ap-bangkok,ap-bangkok-2,GN10Xp,
GN7.2XLARGE32,T4,1,8,32,"T4 x1, family GN7",1.20474,,ap-beijing,ap-beijing-3,GN7,
GN7.5XLARGE80,T4,1,20,80,"T4 x1, family GN7",1.92372,,ap-beijing,ap-beijing-3,GN7,
GN7.8XLARGE128,T4,1,32,128,"T4 x1, family GN7",2.6427,,ap-beijing,ap-beijing-3,GN7,
GN7.10XLARGE160,T4,2,40,160,"T4 x2, family GN7",3.84054,,ap-beijing,ap-beijing-3,GN7,
GN7.20XLARGE320,T4,4,80,320,"T4 x4, family GN7",7.6728,,ap-beijing,ap-beijing-3,GN7,
GNV4.3XLARGE44,A10,1,12,44,"A10 x1, family GNV4",1.27374,,ap-beijing,ap-beijing-6,GNV4,
PNV4.7XLARGE116,A10,1,28,116,"A10 x1, family PNV4",1.48212,,ap-beijing,ap-beijing-6,PNV4,
GNV4.6XLARGE88,A10,2,24,88,"A10 x2, family GNV4",2.4771,,ap-beijing,ap-beijing-6,GNV4,
PNV4.14XLARGE232,A10,2,56,232,"A10 x2, family PNV4",2.95734,,ap-beijing,ap-beijing-6,PNV4,
GNV4.12XLARGE176,A10,4,48,176,"A10 x4, family GNV4",4.88244,,ap-beijing,ap-beijing-6,GNV4,
PNV4.28XLARGE466,A10,4,112,466,"A10 x4, family PNV4",5.91606,,ap-beijing,ap-beijing-6,PNV4,
GNV4.24XLARGE352,A10,8,96,352,"A10 x8, family GNV4",9.69588,,ap-beijing,ap-beijing-6,GNV4,
PNV4.56XLARGE932,A10,8,224,932,"A10 x8, family PNV4",11.82522,,ap-beijing,ap-beijing-6,PNV4,
GNV4.48XLARGE704,A10,16,192,704,"A10 x16, family GNV4",19.32138,,ap-beijing,ap-beijing-6,GNV4,
GT4.4XLARGE96,A100,1,16,96,"A100 x1, family GT4",3.95922,,ap-beijing,ap-beijing-6,GT4,
GT4.8XLARGE192,A100,2,32,192,"A100 x2, family GT4",7.91154,,ap-beijing,ap-beijing-6,GT4,
GT4.20XLARGE474,A100,4,82,474,"A100 x4, family GT4",16.3944,,ap-beijing,ap-beijing-6,GT4,
GT4.41XLARGE948,A100,8,164,948,"A100 x8, family GT4",32.78328,,ap-beijing,ap-beijing-6,GT4,
GN8.LARGE56,P40,1,6,56,"P40 x1, family GN8",2.08932,,ap-beijing,ap-beijing-6,GN8,
GN8.3XLARGE112,P40,2,14,112,"P40 x2, family GN8",4.26834,,ap-beijing,ap-beijing-6,GN8,
GN8.7XLARGE224,P40,4,28,224,"P40 x4, family GN8",8.52978,,ap-beijing,ap-beijing-6,GN8,
GN8.14XLARGE448,P40,8,56,448,"P40 x8, family GN8",17.05266,,ap-beijing,ap-beijing-6,GN8,
GI3X.8XLARGE64,T4,1,32,64,"T4 x1, family GI3X",1.32894,,ap-beijing,ap-beijing-6,GI3X,
GN7.2XLARGE32,T4,1,8,32,"T4 x1, family GN7",1.20474,,ap-beijing,ap-beijing-6,GN7,
GN7.5XLARGE80,T4,1,20,80,"T4 x1, family GN7",1.92372,,ap-beijing,ap-beijing-6,GN7,
GN7.8XLARGE128,T4,1,32,128,"T4 x1, family GN7",2.6427,,ap-beijing,ap-beijing-6,GN7,
GI3X.22XLARGE226,T4,2,90,226,"T4 x2, family GI3X",2.65098,,ap-beijing,ap-beijing-6,GI3X,
GN7.10XLARGE160,T4,2,40,160,"T4 x2, family GN7",3.84054,,ap-beijing,ap-beijing-6,GN7,
GI3X.45XLARGE452,T4,4,180,452,"T4 x4, family GI3X",5.29644,,ap-beijing,ap-beijing-6,GI3X,
GN7.20XLARGE320,T4,4,80,320,"T4 x4, family GN7",7.6728,,ap-beijing,ap-beijing-6,GN7,
